"市町村","タイトル","所在地","緯度","経度","写真1","写真2","写真3","写真4","写真5","写真6","写真7","写真8","写真9","写真10","連絡先","分類","災害種別","備考"
"","田浦地区コミュニティ集会所","田浦町字中村16-5","33.998629","134.555268","","","","","","","","","","","","指定緊急避難場所（法定外）,指定避難所（法指定）","津波",""
"","三好高校体育館","三好市池田町州津大深田７２０","34.038323","133.849536","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","松茂町第二体育館","松茂町中喜来字群恵225-4","34.142716","134.588896","","","","","","","","","","","088-699-8719","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水",""
"","吉野川育成園","松茂町笹木野字八北開拓236-1","34.141923","134.594563","","","","","","","","","","","088-699-2055","指定緊急避難場所（法指定）,指定避難所（法定外）,福祉避難所（法定外）","洪水,津波",""
"","喜来小学校","松茂町中喜来字前原西一番越14","34.142303","134.574178","","","","","","","","","","","088-699-8719","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,津波",""
"","和田島漁業協同組合","和田島町字西浜手10-33","33.998116","134.632849","","","","","","","","","","","0885-37-1621","指定緊急避難場所（法定外）,指定避難所（法定外）","津波",""
"","坂本体育館","勝浦町大字坂本字宮平１?５","33.936414","134.453076","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法定外）","洪水,地震",""
"","牟岐中学校","牟岐町大字川長字市宇谷100","33.6720288203888","134.426586288376","","","","","","","","","","","0884-72-0066","指定緊急避難場所（法指定）,指定避難所（法指定）","地震,津波",""
"","笹見コミュニティセンター","牟岐町大字河内字西笹見1072-3","33.6922785864181","134.403119440479","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","地震,大規模な火事",""
"","西又コミュニティセンター","牟岐町大字河内字西又1343","33.6936007344047","134.380742644173","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","地震,大規模な火事",""
"","出羽島保健福祉センター","牟岐町大字牟岐浦字出羽島49-1","33.6354930088211","134.424886550938","","","","","","","","","","","0884-72-3414","指定緊急避難場所（法指定）,指定避難所（法指定）","地震,大規模な火事",""
"","出羽島集会所","牟岐町大字牟岐浦字出羽島46-12","33.6352743817568","134.422767253982","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","大規模な火事",""
"","内妻コミュニティセンター","牟岐町大字内妻字丸山142-3","33.661873","134.401164","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,津波",""
"","大戸漁村センター","牟岐町大字中村字大戸83","33.663704","134.418002","","","","","","","","","","","0884-72-0012","指定緊急避難場所（法指定）,指定避難所（法指定）","地震,大規模な火事",""
"","徳島県立少年自然の家","牟岐町大字灘字東谷116-35","33.6685810940829","134.44311055093","","","","","","","","","","","0884-72-2811","指定緊急避難場所（法指定）,指定避難所（法指定）","地震,津波,大規模な火事",""
"","牟岐小学校","牟岐町大字川長字市宇谷100","33.6717252405029","134.426580923951","","","","","","","","","","","0884-72-0792","指定緊急避難場所（法指定）,指定避難所（法指定）","地震,津波",""
"","老人保健施設「和楽」","牟岐町大字川長字山戸28","33.6748007170363","134.423914728832","","","","","","","","","","","0084-72-3535","指定緊急避難場所（法指定）,指定避難所（法指定）,福祉避難所（法指定）","地震,津波,大規模な火事",""
"","牟岐町隣保館","牟岐町大字中村字山田142","33.667769","134.415989","","","","","","","","","","","0884-72-3143","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","関コミュニティセンター","牟岐町大字川長字関85-7","33.6794299280348","134.421579296949","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","清水文化センター","牟岐町大字中村字清水78-1","33.6756174642156","134.420642449059","","","","","","","","","","","0884-72-3414","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,大規模な火事",""
"","本町会館","牟岐町大字中村字本村","33.669647","134.418558","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","高齢者交流施設　浜の家","牟岐町大字牟岐浦字浜崎214-1","33.6668498270581","134.420256732823","","","","","","","","","","","0884-72-3414","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,津波,大規模な火事",""
"","西浦コミュニティセンター","牟岐町大字牟岐浦字浜崎192","33.6662645648063","134.418315186509","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,津波,大規模な火事",""
"","旧牟岐小学校体育館","牟岐町大字中村字本村14","33.6682846012004","134.41996654365","","","","","","","","","","","0884-72-0107","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","灘コミュニティセンター","牟岐町大字灘字大平眞43-4","33.6709077487824","134.434536737446","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","古牟岐コミュニティセンター","牟岐町大字灘字下浜辺184-7","33.6659719501002","134.440398766867","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","地震,大規模な火事",""
"","牟岐町海の総合文化センター","牟岐町大字川長字新光寺82","33.6745639645021","134.421747652776","","","","","","","","","","","0884-72-0107","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,津波,大規模な火事",""
"","町民センター","牟岐町大字川長字大坪100-2","33.6716646148507","134.426020240395","","","","","","","","","","","0884-72-0107","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,津波,大規模な火事",""
"","牟岐中学校体育館","牟岐町大字川長字市宇谷100","33.6711400437707","134.425684964256","","","","","","","","","","","0884-72-0066","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","川長コミュニティセンター","牟岐町大字川長字新光寺24","33.6718808763167","134.422065860125","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","天神前コミュニティセンター","牟岐町大字川長字天神前52-3","33.6696120321119","134.422330271162","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","東部コミュニティセンター","牟岐町大字牟岐浦字馬地12","33.6655632242875","134.427031939804","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","地震,大規模な火事",""
"","東の中コミュニティセンター","牟岐町大字灘字大牟岐田68-1","33.6670427172976","134.426770271188","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","櫛渕湯谷集会所","櫛渕町字湯谷52","33.958151","134.583504","","","","","","","","","","","","指定緊急避難場所（法定外）,指定避難所（法定外）","津波",""
"","喜来多目的集会所","牟岐町大字橘字みやのもと1142","33.6967943035912","134.430659083327","","","","","","","","","","","0884-72-3419","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","横瀬文化センター","牟岐町大字辺川字横瀬675-26","33.6896670983639","134.435275466284","","","","","","","","","","","0884-72-3414","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,大規模な火事",""
"","橘コミュニティセンター","牟岐町大字橘字しばのはら182-4","33.704014","134.443703","","","","","","","","","","","0884-72-3411","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","櫛渕小学校","櫛渕町字北佃45","33.953791","134.584172","","","","","","","","","","","0885-37-1058","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","芝田小学校","田野町字中須45","33.985276","134.583313","","","","","","","","","","","0885-32-0212","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,津波,内水氾濫","災害種別「津波」については法定外"
"","児安小学校","田浦町字近里27","34.001959","134.564935","","","","","","","","","","","0885-32-0171","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","道の駅ひなの里かつうら","徳島県勝浦郡勝浦町大字生名字月ノ瀬４番地１","33.932371527424","134.523006677636","","","","","","","","","","","道の駅ひなの里かつうら","指定緊急避難場所（法指定）,指定避難所（法定外）","",""
"","千代小学校","中田町字奥林29","34.015157","134.575224","","","","","","","","","","","0885-32-0109","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","木屋平中学校","美馬市木屋平字川井224","33.934892","134.212488","","","","","","","","","","","0883-68-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震",""
"","藍住西小学校","藍住町富吉字豊吉55-1","34.135273557156","134.484800542328","","","","","","","","","","","088-692-2436","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,津波,大規模な火事,内水氾濫",""
"","阿波農村環境改善センター","阿波市阿波町東原173","34.0826402413736","134.235418347233","","","","","","","","","","","0883-35-3939","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","阿波中学校（体育館）","阿波市阿波町東原230-1","34.085784073883","134.234750753307","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","柿原小学校（体育館）","阿波市吉野町柿原字ヒロナカ256-1","34.0974836828231","134.352219330028","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事",""
"","一条小学校（体育館）","阿波市吉野町西条字岡ノ川原135","34.1006072248515","134.386634822088","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","土成地域資源活力工房","阿波市土成町宮川内字平間28-2","34.1509955461095","134.352337347222","","","","","","","","","","","0883-36-8722","指定緊急避難場所（法定外）,指定避難所（法指定）","洪水,地震,内水氾濫",""
"","阿波林公民館","阿波市阿波町南整理182-1","34.0721437823854","134.198186626993","","","","","","","","","","","0883-36-8742","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,内水氾濫",""
"","藍住南小学校","藍住町奥野字和田95","34.121489","134.490962","","","","","","","","","","","088-692-2238","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,津波,大規模な火事,内水氾濫",""
"","阿波体育館","阿波市阿波町丸山22","34.0760758866344","134.226503711638","","","","","","","","","","","0883-36-8742","指定緊急避難場所（法定外）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","林小学校（体育館）","阿波市阿波町東整理155-1","34.0741509989836","134.201657067472","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事,内水氾濫",""
"","阿波伊沢公民館","阿波市阿波町南柴生84","34.0881020634469","134.229551373001","","","","","","","","","","","0883-36-8742","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","阿波伊沢北分館","阿波市阿波町亀底199-1","34.129062","134.227331","","","","","","","","","","","0883-36-8742","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,内水氾濫",""
"","大俣公民館","阿波市市場町上喜来字田中602-3","34.1035302320632","134.269108288346","","","","","","","","","","","0883-36-8742","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,内水氾濫",""
"","八幡公民館","阿波市市場町大野島字稲荷112-1","34.090594485113","134.312779728846","","","","","","","","","","","0883-36-8742","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等",""
"","市場日開谷体育館","阿波市市場町日開谷字野田原25","34.1242087374956","134.267054525125","","","","","","","","","","","0883-36-8742","指定緊急避難場所（法定外）,指定避難所（法指定）","洪水,地震,内水氾濫",""
"","市場コミュニティセンター","阿波市市場町市場字上野段388","34.0900034928316","134.284633186501","","","","","","","","","","","0883-36-8704","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","八幡小学校（体育館）","阿波市市場町大野島字稲荷138-1","34.0910298678735","134.311498644186","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","大俣小学校（体育館）","阿波市市場町上喜来字西原200","34.1039868139839","134.262510575404","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","大影小学校（体育館）","阿波市市場町大影字境目39-1","34.1733051009856","134.2540616012","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法定外）,指定避難所（法指定）","洪水,地震,大規模な火事,内水氾濫",""
"","市場中学校（体育館）","阿波市市場町市場字上野段6-3","34.0983187686028","134.286178710316","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","土成コミュニティセンター","土成町土成字丸山10","34.11546","134.339709","","","","","","","","","","","088-695-2311","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","土成中学校（体育館）","阿波市土成町吉田字一本松の二42","34.1143007189349","134.348008830683","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","土成小学校（体育館）","阿波市土成町成当1203-1","34.1089712850586","134.325225467605","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","御所小学校（体育館）","阿波市土成町宮川内字広坪89","34.119390528358","134.361912814821","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","吉野スポーツセンター","阿波市吉野町西条字大西6-1","34.0985276943484","134.370971271161","","","","","","","","","","","0883-36-8742","指定緊急避難場所（法定外）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","吉野中央ふれあいセンター","阿波市吉野町西条字宮ノ前27-1","34.099058","134.385873","","","","","","","","","","","0883-36-8716","指定緊急避難場所（法定外）,指定避難所（法指定）","崖崩れ等,地震",""
"","三島会館","美馬市穴吹町三島字舞中島1524","34.058068","134.139107","","","","","","","","","","","0883-53-6124","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震",""
"","重清北交流館","美馬市美馬町字狙ヶ内26-3","34.086689","134.04228","","","","","","","","","","","0883-52-1212","指定緊急避難場所（法指定）,指定避難所（法指定）","地震",""
"","吉野コミュニティセンター","阿波市吉野町西条字大西28","34.0980707352142","134.371976542342","","","","","","","","","","","088-696-3964","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,内水氾濫",""
"","阿波高等学校（体育館）","阿波市吉野町柿原字ヒロナカ180","34.0994079680993","134.352454719085","","","","","","","","","","","088-696-3131","指定緊急避難場所（法定外）,指定避難所（法指定）","洪水,崖崩れ等,地震",""
"","藍住北小学校","藍住町住吉字乾1","34.1327043210354","134.506219369385","","","","","","","","","","","088-692-2315","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,津波,大規模な火事,内水氾濫",""
"","藍住東小学校","藍住町勝瑞字成長155-1","34.1270991250187","134.516678058873","","","","","","","","","","","088-641-2222","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,津波,大規模な火事,内水氾濫",""
"","旭へき地集会室","上勝町大字旭字中村53","33.875673","134.383241","","","","","","","","","","","0885-46-0111","指定避難所（法指定）","",""
"","藍住中学校","藍住町奥野字矢上前18-1","34.1251403162441","134.497572926608","","","","","","","","","","","088-692-2505","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,津波,大規模な火事,内水氾濫",""
"","上勝中学校体育館","上勝町大字生実字東戸越73","33.895514","134.403374","","","","","","","","","","","0885-45-0111","指定避難所（法指定）","",""
"","上勝中学校","上勝町大字生実字東戸越73","33.89637","134.403625","","","","","","","","","","","0885-45-0111","指定避難所（法指定）","",""
"","上勝小学校体育館","上勝町大字正木字平間179","33.922602","134.425559","","","","","","","","","","","0885-45-0111","指定避難所（法指定）","",""
"","上勝町基幹集落センター","上勝町大字旭字蔭55","33.878618","134.389642","","","","","","","","","","","0885-46-0111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","福原ふれあいセンター","上勝町大字福原字平間45-2","33.884952","134.416732","","","","","","","","","","","0885-46-0111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","上勝町コミュニティセンター","上勝町大字福原字下横峯3-1","33.888329","134.402031","","","","","","","","","","","0885-46-0111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","上板町南老人集会所","上板町高瀬字宮ノ本２５０－１","34.101342","134.415342","","","","","","","","","","","088-694-6810","指定緊急避難場所（法定外）,指定避難所（法定外）","崖崩れ等,地震,内水氾濫",""
"","上板町西老人集会所","上板町引野字東原４９－１","34.12434","134.399739","","","","","","","","","","","088-694-6810","指定緊急避難場所（法定外）,指定避難所（法定外）","洪水,崖崩れ等,地震,内水氾濫",""
"","三庄小学校・グラウンド・体育館","東みよし町中庄1125","34.038661","133.947413","","","","","","","","","","","0883-79-3630","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事,内水氾濫",""
"","中央会館","松島町5-6","34.008736","134.585245","","","","","","","","","","","0885-32-2700","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","小松島高等学校","日開野町字高須47-1","34.004431","134.586897","","","","","","","","","","","0885-32-2166","指定緊急避難場所（法定外）,指定避難所（法定外）","津波","災害種別「津波」については法定外"
"","小松島市総合福祉センター","横須町11-7","34.001218","134.593855","","","","","","","","","","","0885-33-2255","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","高志幼稚園","上板町高瀬字天目一１１０８","34.10404","134.419176","","","","","","","","","","","088-694-6814","指定緊急避難場所（法定外）,指定避難所（法定外）","崖崩れ等,地震,内水氾濫",""
"","上板町技の館","上板町泉谷字原東３２－４","34.131953","134.397289","","","","","","","","","","","088-694-6806","指定緊急避難場所（法定外）,指定避難所（法定外）","洪水,崖崩れ等,地震,内水氾濫",""
"","平地区集会所","一宇字平３６９１番地１","33.918706","134.053518","","","","","","","","","","","0883-67-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","葛籠地区集会所","一宇字葛籠６３０８番地","33.873814","134.076725","","","","","","","","","","","0883-67-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事",""
"","河内地区集会所","一宇字大佐古６７０番地１","33.916022","134.06856","","","","","","","","","","","0883-67-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","大野地区集会所","一宇字大野２２２番地","33.942123","134.071569","","","","","","","","","","","0883-67-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","須貝瀬集会所","一宇字久藪２８８番地","33.931922","134.054098","","","","","","","","","","","0883-67-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","久藪地区集会所","一宇字久藪２０５番地３","33.935937","134.056367","","","","","","","","","","","0883-67-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","一宇公民館","一宇字赤松６番地２","33.95521","134.06767","","","","","","","","","","","0883-67-2803","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","古見小学校","一宇字太刀之本５番地４","33.951188","134.062251","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","大宗地区集会所","一宇字赤松８６番地","33.955588","134.06753","","","","","","","","","","","0883-67-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","つるぎの宿岩戸","一宇字赤松６番地９","33.955499","134.0679","","","","","","","","","","","0883-67-2826","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","一宇地区集会所","一宇字一宇７２番地","33.961239","134.077899","","","","","","","","","","","0883-67-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","敷地老人憩の家","半田字小野２０３番地１","34.041147","134.034137","","","","","","","","","","","0883-64-3111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","上の原老人憩の家","半田字東久保７８０番地３","34.026966","134.035918","","","","","","","","","","","0883-64-3111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事",""
"","小野上・西老人憩の家","半田字小野５４７番地","34.040632","134.033321","","","","","","","","","","","０８８３－６４－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","東部老人憩の家","半田字坂根５０５番地","33.988385","134.039217","","","","","","","","","","","０８８３－６４－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","紙屋幼稚園・小学校体育館","半田字紙屋２５６番地","33.977834","134.009905","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","大規模な火事,内水氾濫",""
"","日開野活性化センター","半田字日開野１９７番地２","33.998739","134.028214","","","","","","","","","","","0883-64-3111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","八千代中学校","半田字日開野１２２番地","33.997796","134.028515","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","白石小学校","半田字白石４２２番地","33.998899","134.014406","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","高清小学校","半田字高清１３９８番地","34.001901","134.037355","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫","体育館のみ耐震性能あり"
"","日浦小学校","半田字蔭名１２９２番地","34.02525","134.02146","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,大規模な火事,内水氾濫",""
"","田井老人・肉用牛センター","半田字田井１４９番地９","34.034577","134.029126","","","","","","","","","","","０８８３－６４－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","スポーツセンター","半田字田井２０２番地","34.03078","134.030591","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事",""
"","半田小学校・体育館","半田字田井１８４番地","34.032195","134.029837","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法定外）","崖崩れ等,地震,大規模な火事,内水氾濫",""
"","特別養護老人ホームうらら荘","半田字松生１５０番地１","34.041423","134.023182","","","","","","","","","","","0883-64-2334","指定緊急避難場所（法指定）,指定避難所（法指定）,福祉避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","半田地域福祉センター","半田字小野５２１番地","34.03904","134.033965","","","","","","","","","","","0883-64-4182","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","小野コミュニティーセンター","半田字小野９１－１","34.039156","134.033965","","","","","","","","","","","0883-64-3111","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","中薮老人憩の家","半田字中薮３９７番地６","34.041414","134.035891","","","","","","","","","","","０８８３－６４－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","日浦集会所","貞光字日浦１５１番地１","33.98995","134.081869","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","端山小学校","貞光字宮平３９番地","33.995299","134.088483","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","広瀬集会所","貞光字長瀬５０番地","34.003631","134.079369","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,大規模な火事,内水氾濫",""
"","吉良集会所","貞光字吉良３１８番地","33.993749","134.073254","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","井折集会所","貞光字捨子谷南１６３番地","34.01762","134.074209","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事",""
"","皆瀬小学校","貞光字皆瀬川向１番地","34.018096","134.068968","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","家賀道上集会所","貞光字家賀道上２６６番地","34.002257","134.100835","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","家賀道下集会所","貞光字家賀道下４０７番地","34.008678","134.101447","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","平野小学校","貞光字平野１９７番地１","34.011046","134.09233","","","","","","","","","","","0883-62-2331","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","広谷集会所","貞光字広谷２３番地","34.015397","134.094824","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","長木集会所","貞光字長木８３番地","34.019514","134.099443","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","白村集会所","貞光字白村２４５番地３","34.031732","134.076317","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","太田中央集会所","貞光字太田東３８２番地２","34.049962","134.088623","","","","","","","","","","","０８８３－６２－３１１１","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
